,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
0,1120.0,4.0,1.0,940.0,1920.0,256 E 43rd St,Single Family Home,East Flatbush,Brooklyn,407986.0
1,2025.0,4.0,2.5,2352.0,1986.0,47 Ilyse Ct,Single Family Home,Great Kills,Staten Island,700000.0
2,1196.0,3.0,2.5,4200.0,1965.0,370 Tysens Ln,Single Family Home,Oakwood,Staten Island,700000.0
3,1513.0,3.0,2.5,2886.0,1975.0,486 Castleton Ave,Single Family Home,Randall Manor,Staten Island,550000.0
4,840.0,2.0,1.5,696.0,1988.0,10 Sea Breeze Ln,Condo,Tottenville,Staten Island,380000.0
5,2563.0,6.0,3.5,,1910.0,57 Wellington Ct,Single Family Home,Flatbush,Brooklyn,1799000.0
6,2296.0,3.0,2.5,4680.0,1969.0,158 Benedict Ave,Single Family Home,Westerleigh,Staten Island,735000.0
7,1500.0,2.0,1.0,12196.811200000002,1949.0,181 3rd St,Condo,New Dorp,Staten Island,265000.0
8,1100.0,2.0,2.0,,1939.0,5444 Arlington Ave Apt G12,,Riverdale,Bronx,350000.0
9,794.0,1.0,1.0,,1975.0,1601 3rd Ave Apt 5D,,Upper East Side,Manhattan,815000.0
10,2200.0,5.0,3.0,,1989.0,127 George St,Multi-Family Home,Bushwick,Brooklyn,1495000.0
11,1000.0,1.0,1.0,,1939.0,720 Fort Washington Ave Apt 6F,,Washington Heights,Manhattan,589000.0
12,,3.0,1.0,,1940.0,357 6th Ave Apt 4,,Park Slope,Brooklyn,1625000.0
13,928.0,2.0,1.0,,1872.0,305 E 4th St # Fl,,East Village,Manhattan,1020000.0
14,922.0,2.0,1.0,,2007.0,52 3rd Ave Apt 5B,,Boerum Hill,Brooklyn,1230000.0
15,,1.0,1.0,,1965.0,333 E 14th St Apt 2D,,Gramercy Park,Manhattan,920000.0
16,902.0,1.0,1.0,,2016.0,265 State St Apt 1112,,Boerum Hill,Brooklyn,1115000.0
17,,2.0,2.0,,1924.0,310 W 72nd St Unit 11E,,Upper West Side,Manhattan,1450000.0
18,1305.0,3.0,2.5,,1940.0,4967 Henry Hudson Pkwy Unit Townhouse,,Riverdale,Bronx,725000.0
19,,2.0,1.0,,,656 Carroll St Apt 2R,,Park Slope,Brooklyn,1225000.0
20,1302.0,2.0,2.5,,2020.0,150 E 23rd St Apt 10D,,Gramercy Park,Manhattan,2525000.0
21,1376.0,3.0,1.5,,1911.0,520 W 110th St Apt 3C,,Upper West Side,Manhattan,1475000.0
22,,1.0,1.0,,1930.0,264 6th Ave Apt 3A,,Park Slope,Brooklyn,670000.0
23,,,0.0,4300.0,,Ricmond Hill Rd,Land,New Dorp,Staten Island,
24,773.0,1.0,1.0,,1986.0,225 W 83rd St Apt 6Z,,Upper West Side,Manhattan,870000.0
25,,0.0,1.0,,1930.0,10 Station Sq Apt R26,,Forest Hills,New York,181000.0
26,725.0,1.0,1.0,,1939.0,83-80 118th St Unit 5C,,Kew Gardens,New York,249888.0
