,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
0,1120.0,4.0,1.0,940.0,1920.0,256 E 43rd St,Single Family Home,East Flatbush,Brooklyn,407986.0
1,2025.0,4.0,2.5,2352.0,1986.0,47 Ilyse Ct,Single Family Home,Great Kills,Staten Island,700000.0
2,1196.0,3.0,2.5,4200.0,1965.0,370 Tysens Ln,Single Family Home,Oakwood,Staten Island,700000.0
3,1513.0,3.0,2.5,2886.0,1975.0,486 Castleton Ave,Single Family Home,Randall Manor,Staten Island,550000.0
4,840.0,2.0,1.5,696.0,1988.0,10 Sea Breeze Ln,Condo,Tottenville,Staten Island,380000.0
5,2296.0,3.0,2.5,4680.0,1969.0,158 Benedict Ave,Single Family Home,Westerleigh,Staten Island,735000.0
6,1500.0,2.0,1.0,12196.811200000002,1949.0,181 3rd St,Condo,New Dorp,Staten Island,265000.0
7,1510.0,2.0,1.5,2220.0,1989.0,119 Milton Ave,Condo,New Dorp Beach,Staten Island,493000.0
8,1470.0,4.0,2.5,5227.0,1945.0,248-14 Thornhill Ave,Single Family Home,Douglaston,Queens,910000.0
9,1200.0,3.0,2.0,1840.0,1925.0,412 Applegate Ct,Single Family Home,Gravesend,Brooklyn,800000.0
10,3000.0,8.0,3.0,2178.0,1901.0,372 Montauk Ave,Multi-Family Home,East New York,Brooklyn,940000.0
11,1860.0,4.0,4.0,7100.0,1955.0,27 Titus Ave,Single Family Home,New Dorp Beach,Staten Island,740000.0
12,1184.0,3.0,2.5,2850.0,1970.0,84 Acacia Ave,Single Family Home,Great Kills,Staten Island,605000.0
13,3885.0,6.0,4.0,9000.0,1975.0,331 Detroit Ave,Single Family Home,Annadale,Staten Island,1265000.0
14,1472.0,3.0,1.5,2300.0,1976.0,98 Stieg Ave,Single Family Home,Great Kills,Staten Island,570000.0
15,2548.0,3.0,2.5,4760.0,1970.0,314 Caswell Ave,Single Family Home,Westerleigh,Staten Island,888000.0
16,2534.0,4.0,4.0,4000.0,1982.0,20 Mercer Pl,Single Family Home,Great Kills,Staten Island,989000.0
17,1170.0,3.0,2.0,2000.0,1920.0,1215 E 94th St,Single Family Home,Canarsie,Brooklyn,630000.0
18,1368.0,3.0,2.5,2400.0,2000.0,52 Eagan Ave,Single Family Home,Annadale,Staten Island,650000.0
19,1150.0,4.0,1.5,2500.0,1925.0,244 Hylan Blvd,Single Family Home,Rosebank,Staten Island,440000.0
20,2580.0,5.0,2.5,1620.0,1997.0,454 Franklin Ave,Multi-Family Home,Bedford-Stuyvesant,Brooklyn,1597000.0
21,1729.0,3.0,2.0,3750.0,1935.0,39 Rokeby Pl,Single Family Home,West Brighton,Staten Island,685000.0
22,2224.0,7.0,3.0,2000.0,1920.0,2021 W 13th St,Multi-Family Home,Gravesend,Brooklyn,1220000.0
23,2330.0,3.0,2.5,3116.0,1998.0,1568 Woodrow Rd,Single Family Home,Woodrow,Staten Island,720000.0
