,sqft,beds,baths,lot_size,year_built,address,Bronx,Brooklyn,Manhattan,New York,Queens,Staten Island,Condo,Land,Multi-Family Home,Single Family Home,sale_price
0,1120.0,4.0,1.0,940.0,1920.0,256 E 43rd St,0,1,0,0,0,0,0,0,0,1,407986.0
1,2025.0,4.0,2.5,2352.0,1986.0,47 Ilyse Ct,0,0,0,0,0,1,0,0,0,1,700000.0
2,1196.0,3.0,2.5,4200.0,1965.0,370 Tysens Ln,0,0,0,0,0,1,0,0,0,1,700000.0
3,1513.0,3.0,2.5,2886.0,1975.0,486 Castleton Ave,0,0,0,0,0,1,0,0,0,1,550000.0
4,840.0,2.0,1.5,696.0,1988.0,10 Sea Breeze Ln,0,0,0,0,0,1,1,0,0,0,380000.0
5,2296.0,3.0,2.5,4680.0,1969.0,158 Benedict Ave,0,0,0,0,0,1,0,0,0,1,735000.0
6,1500.0,2.0,1.0,12196.811200000002,1949.0,181 3rd St,0,0,0,0,0,1,1,0,0,0,265000.0
7,1510.0,2.0,1.5,2220.0,1989.0,119 Milton Ave,0,0,0,0,0,1,1,0,0,0,493000.0
8,1470.0,4.0,2.5,5227.0,1945.0,248-14 Thornhill Ave,0,0,0,0,1,0,0,0,0,1,910000.0
9,1200.0,3.0,2.0,1840.0,1925.0,412 Applegate Ct,0,1,0,0,0,0,0,0,0,1,800000.0
10,3000.0,8.0,3.0,2178.0,1901.0,372 Montauk Ave,0,1,0,0,0,0,0,0,1,0,940000.0
11,1860.0,4.0,4.0,7100.0,1955.0,27 Titus Ave,0,0,0,0,0,1,0,0,0,1,740000.0
12,1184.0,3.0,2.5,2850.0,1970.0,84 Acacia Ave,0,0,0,0,0,1,0,0,0,1,605000.0
13,3885.0,6.0,4.0,9000.0,1975.0,331 Detroit Ave,0,0,0,0,0,1,0,0,0,1,1265000.0
14,1472.0,3.0,1.5,2300.0,1976.0,98 Stieg Ave,0,0,0,0,0,1,0,0,0,1,570000.0
15,2548.0,3.0,2.5,4760.0,1970.0,314 Caswell Ave,0,0,0,0,0,1,0,0,0,1,888000.0
16,2534.0,4.0,4.0,4000.0,1982.0,20 Mercer Pl,0,0,0,0,0,1,0,0,0,1,989000.0
17,1170.0,3.0,2.0,2000.0,1920.0,1215 E 94th St,0,1,0,0,0,0,0,0,0,1,630000.0
18,1368.0,3.0,2.5,2400.0,2000.0,52 Eagan Ave,0,0,0,0,0,1,0,0,0,1,650000.0
19,1150.0,4.0,1.5,2500.0,1925.0,244 Hylan Blvd,0,0,0,0,0,1,0,0,0,1,440000.0
20,2580.0,5.0,2.5,1620.0,1997.0,454 Franklin Ave,0,1,0,0,0,0,0,0,1,0,1597000.0
21,1729.0,3.0,2.0,3750.0,1935.0,39 Rokeby Pl,0,0,0,0,0,1,0,0,0,1,685000.0
22,2224.0,7.0,3.0,2000.0,1920.0,2021 W 13th St,0,1,0,0,0,0,0,0,1,0,1220000.0
23,2330.0,3.0,2.5,3116.0,1998.0,1568 Woodrow Rd,0,0,0,0,0,1,0,0,0,1,720000.0
24,1672.0,4.0,2.0,5000.0,1910.0,17 Winfield St,0,0,0,0,0,1,0,0,1,0,700000.0
25,2278.0,3.0,2.5,1890.0,1940.0,46 Corbin Pl,0,1,0,0,0,0,0,0,1,0,1130000.0
26,3296.0,5.0,5.0,9100.0,1990.0,206 Darlington Ave,0,0,0,0,0,1,0,0,0,1,1150000.0
